Date,Open,High,Low,Close,Volume,OpenInt
2015-01-28,21.5,21.97,18.54,18.83,3659936,0
2015-01-29,18.71,20.185,18.71,20.0,581182,0
2015-01-30,19.76,20.0,19.06,19.83,146296,0
2015-02-02,19.85,19.85,18.95,19.08,148738,0
2015-02-03,19.04,19.38,18.64,18.99,69783,0
2015-02-04,18.5,18.99,17.0,18.31,236646,0
2015-02-05,18.8,18.8,17.71,17.91,82410,0
2015-02-06,17.76,18.37,17.65,17.995,135738,0
2015-02-09,17.81,18.44,17.61,18.05,80048,0
2015-02-10,18.158,18.49,17.571,18.27,73391,0
2015-02-11,18.042,18.43,18.04,18.05,11749,0
2015-02-12,18.15,18.41,17.9,18.0,47126,0
2015-02-13,17.99,18.022,17.91,17.98,33446,0
2015-02-17,17.94,18.1,17.9,17.96,41172,0
2015-02-18,17.95,18.0,17.86,18.0,58328,0
2015-02-19,17.9,19.39,17.9,19.3,85803,0
2015-02-20,19.61,19.61,19.112,19.34,34519,0
2015-02-23,19.92,20.0,18.05,18.2,117384,0
2015-02-24,18.21,18.86,18.203,18.48,71453,0
2015-02-25,18.97,18.97,18.12,18.36,80649,0
2015-02-26,18.55,18.55,18.12,18.4,20110,0
2015-02-27,18.49,18.5,17.54,17.73,61477,0
2015-03-02,18.0,18.1,17.66,17.97,42200,0
2015-03-03,17.9,18.05,17.85,18.0,12000,0
2015-03-04,17.97,18.23,17.85,18.0,19000,0
2015-03-05,18.15,18.15,17.95,17.98,10200,0
2015-03-06,18.0,18.35,17.9,17.91,46200,0
2015-03-09,17.7,18.22,17.03,17.85,213600,0
2015-03-10,17.41,17.95,17.41,17.67,52400,0
2015-03-11,17.42,18.35,17.4,17.7,35500,0
2015-03-12,18.05,18.1,17.73,18.1,37800,0
2015-03-13,18.11,18.35,17.78,17.8,19100,0
2015-03-16,17.23,18.19,17.16,18.19,11100,0
2015-03-17,18.17,18.19,17.15,17.86,17400,0
2015-03-18,17.87,18.31,17.87,18.31,20800,0
2015-03-19,18.87,18.87,18.01,18.17,8400,0
2015-03-20,18.18,18.65,17.55,17.57,5300,0
2015-03-23,18.09,18.45,17.5,18.0,35500,0
2015-03-24,17.87,18.88,17.69,17.98,164400,0
2015-03-25,17.98,18.0,17.16,17.78,80500,0
2015-03-26,17.8,17.97,17.38,17.59,83000,0
2015-03-27,17.75,17.94,17.16,17.79,33600,0
2015-03-30,17.8,17.9,17.17,17.48,26800,0
2015-03-31,17.49,17.8,17.2,17.35,13900,0
2015-04-01,17.69,17.9,17.22,17.43,24500,0
2015-04-02,17.4,17.8,17.31,17.39,14000,0
2015-04-06,17.61,17.86,17.4,17.43,3400,0
2015-04-07,17.52,17.93,17.25,17.58,36965,0
2015-04-08,17.74,18.46,17.69,18.37,14800,0
2015-04-09,18.34,18.34,18.0,18.05,5893,0
2015-04-10,18.13,18.7,18.0,18.05,8000,0
2015-04-13,18.13,18.34,17.35,17.49,44300,0
2015-04-14,17.56,17.99,17.36,17.75,43500,0
2015-04-15,17.84,17.84,17.42,17.64,34217,0
2015-04-16,17.621,18.91,17.44,18.91,34218,0
2015-04-17,18.81,19.92,18.21,19.54,77700,0
2015-04-20,19.95,20.0,19.17,19.77,15316,0
2015-04-21,19.78,20.44,19.21,20.44,59490,0
2015-04-22,20.44,20.44,19.65,20.4,33650,0
2015-04-23,20.4,20.86,19.87,20.86,52200,0
2015-04-24,20.62,20.93,19.98,20.0,66300,0
2015-04-27,20.35,20.65,18.99,19.7,38100,0
2015-04-28,19.43,20.0,17.31,18.23,130800,0
2015-04-29,16.9,17.86,16.53,17.25,617400,0
2015-04-30,17.25,17.54,16.52,17.03,255800,0
2015-05-01,17.03,17.76,16.79,17.55,58400,0
2015-05-04,16.5,17.86,16.5,17.24,42100,0
2015-05-05,17.05,17.11,16.11,16.13,70800,0
2015-05-06,16.18,16.47,15.8,16.17,22780,0
2015-05-07,16.27,16.96,16.0,16.14,16872,0
2015-05-08,16.18,16.83,16.0,16.44,27100,0
2015-05-11,16.06,16.83,16.05,16.52,17000,0
2015-05-12,16.11,16.81,16.11,16.81,10912,0
2015-05-13,16.88,16.98,16.13,16.81,16000,0
2015-05-14,16.56,17.49,16.56,17.38,17000,0
2015-05-15,17.13,17.54,16.85,17.28,13353,0
2015-05-18,17.47,17.6,17.28,17.57,40239,0
2015-05-19,17.66,18.2,17.66,17.75,28200,0
2015-05-20,17.91,18.15,17.8,18.08,37900,0
2015-05-21,18.15,18.2,17.55,17.91,53400,0
2015-05-22,17.81,18.07,17.25,17.66,41400,0
2015-05-26,17.46,17.76,17.1,17.31,38827,0
2015-05-27,17.55,17.83,15.53,16.11,137100,0
2015-05-28,16.0,16.39,14.75,16.16,576211,0
2015-05-29,16.18,16.79,16.17,16.65,30100,0
2015-06-01,16.91,16.91,15.79,16.09,27700,0
2015-06-02,16.11,16.54,15.08,16.23,84906,0
2015-06-03,15.75,16.82,15.75,16.75,78000,0
2015-06-04,16.19,16.92,16.15,16.87,60300,0
2015-06-05,16.65,17.27,16.1,16.72,85100,0
2015-06-08,16.5,16.91,16.18,16.35,87200,0
2015-06-09,16.24,16.89,15.73,16.11,160619,0
2015-06-10,15.77,16.5,15.77,15.835,61866,0
2015-06-11,15.84,16.09,15.73,16.09,22337,0
2015-06-12,16.13,16.45,15.89,16.45,23800,0
2015-06-15,16.38,18.08,16.37,17.52,54300,0
2015-06-16,17.44,18.83,17.34,18.0,79500,0
2015-06-17,18.11,18.3,17.6,17.83,103800,0
2015-06-18,17.5,18.43,17.46,17.88,69000,0
2015-06-19,17.73,17.91,17.17,17.6,49000,0
2015-06-22,17.75,18.35,17.48,17.58,56000,0
2015-06-23,17.52,17.764,17.16,17.45,13136,0
2015-06-24,17.43,17.54,16.82,16.82,57600,0
2015-06-25,16.85,17.46,16.85,16.92,19800,0
2015-06-26,16.88,17.43,16.88,17.38,18000,0
2015-06-29,17.0,17.55,17.0,17.23,36800,0
2015-06-30,17.29,17.78,17.21,17.68,37384,0
2015-07-01,17.7,18.35,17.7,18.24,95900,0
2015-07-02,18.4,18.82,18.01,18.44,111900,0
2015-07-06,18.51,18.75,18.44,18.61,70700,0
2015-07-07,18.7,19.19,18.7,18.97,28900,0
2015-07-08,18.88,19.2,18.18,18.96,84800,0
2015-07-09,19.07,19.68,19.07,19.6,84300,0
2015-07-10,19.91,20.01,19.13,19.38,47700,0
2015-07-13,19.24,20.05,19.17,19.78,91100,0
2015-07-14,19.73,21.0,19.73,20.81,162878,0
2015-07-15,20.93,20.95,20.36,20.87,135532,0
2015-07-16,21.25,22.05,21.17,21.46,340400,0
2015-07-17,21.7,21.9,21.0,21.35,104500,0
2015-07-20,21.31,21.51,20.41,21.43,33700,0
2015-07-21,21.41,21.41,20.46,21.0,46000,0
2015-07-22,20.93,21.49,20.68,21.22,72800,0
2015-07-23,21.28,21.79,21.0,21.28,293400,0
2015-07-24,21.37,21.75,21.0,21.14,107700,0
2015-07-27,21.19,21.19,19.45,19.94,265500,0
2015-07-28,19.88,20.99,19.45,20.27,107100,0
2015-07-29,20.29,20.29,18.98,19.93,57500,0
2015-07-30,23.81,23.81,19.25,20.87,278400,0
2015-07-31,21.38,21.39,19.75,20.03,88900,0
2015-08-03,19.9,20.11,19.05,19.58,58178,0
2015-08-04,19.48,20.2,19.37,19.75,96600,0
2015-08-05,19.57,19.95,19.09,19.18,24900,0
2015-08-06,19.05,19.58,18.25,19.14,51962,0
2015-08-07,19.08,19.88,19.08,19.34,26700,0
2015-08-10,19.41,20.37,19.34,20.25,42100,0
2015-08-11,20.1,21.15,19.77,20.61,64612,0
2015-08-12,20.41,20.41,19.47,19.71,68700,0
2015-08-13,19.86,20.47,17.5,17.59,207600,0
2015-08-14,17.16,17.22,16.04,17.02,112500,0
2015-08-17,16.99,17.38,16.25,16.96,91900,0
2015-08-18,17.34,18.17,16.42,17.97,60300,0
2015-08-19,17.8,18.3,16.88,17.97,48900,0
2015-08-20,17.6,17.97,17.27,17.81,80300,0
2015-08-21,17.58,18.31,17.34,18.23,63200,0
2015-08-24,16.41,18.0,16.1,17.97,123859,0
2015-08-25,18.11,20.98,17.75,19.61,106000,0
2015-08-26,20.07,21.31,18.88,20.86,174800,0
2015-08-27,20.93,22.38,19.69,20.05,137100,0
2015-08-28,19.9,20.4,18.8,19.17,153900,0
2015-08-31,19.43,19.71,18.38,19.14,54600,0
2015-09-01,18.21,19.7,17.55,19.31,157800,0
2015-09-02,20.0,20.0,18.78,19.9,40200,0
2015-09-03,19.58,20.5,18.58,19.16,79900,0
2015-09-04,19.8,20.49,18.64,19.77,60400,0
2015-09-08,20.03,20.68,19.34,19.79,37100,0
2015-09-09,19.75,20.34,18.8,19.61,100800,0
2015-09-10,19.49,20.61,18.79,20.55,18468,0
2015-09-11,20.56,20.73,19.65,20.6,87900,0
2015-09-14,20.5,20.54,19.68,19.97,120400,0
2015-09-15,19.93,20.32,19.4,19.73,103300,0
2015-09-16,19.36,19.99,19.36,19.87,70300,0
2015-09-17,20.0,20.26,19.38,19.96,55300,0
2015-09-18,18.99,20.0,18.99,20.0,74500,0
2015-09-21,20.0,20.09,19.18,19.74,66700,0
2015-09-22,19.23,19.9,19.23,19.64,51200,0
2015-09-23,19.63,19.68,19.01,19.23,23300,0
2015-09-24,19.31,19.45,18.58,18.98,18542,0
2015-09-25,18.99,19.24,16.47,16.87,62700,0
2015-09-28,16.76,17.06,16.15,16.88,60046,0
2015-09-29,16.4,17.72,16.02,17.13,82700,0
2015-09-30,17.0,17.94,16.83,17.7,106600,0
2015-10-01,17.77,17.77,16.41,16.62,74700,0
2015-10-02,16.55,16.67,15.88,16.19,81100,0
2015-10-05,16.05,16.61,15.88,16.49,47707,0
2015-10-06,16.57,16.7,16.25,16.62,48500,0
2015-10-07,16.54,17.54,16.16,17.01,81100,0
2015-10-08,17.37,17.4,16.28,17.19,32400,0
2015-10-09,16.89,17.4,16.89,17.24,26000,0
2015-10-12,17.62,17.62,16.53,16.71,40903,0
